word,definition,example
clothing,Items worn to cover the body.,I need to buy some new clothing for the winter.
cloud,A visible mass of water droplets or ice crystals suspended in the atmosphere.,I love watching the fluffy white clouds drift across the blue sky.
club,An organization of people who meet regularly to pursue a shared interest or activity.,She joined the book club to meet new friends and discuss her favorite novels.
clue,A fact or piece of information that helps solve a problem or mystery.,"The detective found a muddy footprint, a crucial clue to identifying the suspect."
cluster,A group of similar things positioned closely together.,A cluster of grapes hung from the vine.
coach,A person who trains and guides a team or individual to improve their skills.,The soccer coach taught us new strategies to win the game.
coal,"A black or brownish-black sedimentary rock, mainly carbon, used as a fuel.",The power plant burns coal to generate electricity.
coalition,"A temporary alliance or union of different people, groups, or nations for a specific purpose.",The political parties formed a coalition to oust the president.
coast,The land next to the sea or ocean.,"We walked along the coast, collecting seashells."
coat,An outer garment worn for warmth or protection.,I grabbed my coat before leaving the house.
code,A system of rules or symbols used to represent information.,Please enter the access code to unlock the door.
coffee,A brewed drink made from roasted coffee beans.,I need a cup of coffee to wake up in the morning.
cognitive,"Relating to mental processes like thinking, learning, and remembering.",The puzzles are designed to improve cognitive function in older adults.
cold,Having a low temperature; lacking heat.,I need a warm jacket because it's cold outside.
collapse,To suddenly fall down or fail.,The old building began to collapse during the earthquake.
colleague,"A person you work with, typically someone in a similar profession or role.",My colleague helped me troubleshoot the software issue.
collect,"To gather or accumulate things, often of a particular type, into one place or group.",I like to collect seashells when I go to the beach.
collection,"A group of things gathered together, often because they are similar or of interest.",She has a large collection of antique dolls.
collective,Done or shared by a group of people.,The team made a collective decision to postpone the project.
college,"An educational institution for higher learning, granting degrees.",She goes to college in Boston.
colonial,Relating to or characteristic of colonialism; establishing or maintaining colonies.,The museum exhibit explored the art and artifacts from the colonial era.
color,A visual attribute of things that results from the light they emit or transmit or reflect.,The sky is a beautiful blue color today.
column,"A vertical pillar or support; also, a vertical section of text or numbers.",The ancient temple had impressive stone columns.
combination,A mixture or blending of different things.,The chef created a delicious dish using a unique combination of spices.
combine,To join or mix together.,I'm going to combine the flour and sugar for the cake batter.
come,To move toward someone or something.,"Please come here, I need your help."
comedy,A genre of entertainment intended to make people laugh.,We saw a hilarious comedy at the theater last night.
comfort,A state of physical ease and freedom from pain or constraint.,"After a long day, I just want to be in the comfort of my own home."
comfortable,Providing a sense of ease and relaxation; pleasant to be in or wear.,"These shoes are so comfortable, I could walk in them all day."
command,To give an order to someone.,The officer commanded the soldiers to advance.
commander,A person in charge of a military unit or operation.,The commander gave the order to advance.
comment,A brief expression of opinion or reaction.,She made a helpful comment on my presentation.
commercial,Related to business or making money.,"The movie was a commercial success, earning millions at the box office."
commission,To formally request or order something to be made or done.,The museum decided to commission a new sculpture for the entrance.
commit,"To perform an action, often something wrong or illegal, or to dedicate oneself to something.",He committed a crime when he robbed the bank.
commitment,"The state or quality of being dedicated to a cause, activity, or person.",Her commitment to the project meant she worked late every night.
committee,A group of people appointed for a specific task.,The fundraising committee is planning a bake sale to raise money for the school trip.
common,Occurring often or shared by many people.,The common cold is a frequent illness during the winter.
communicate,"To share or exchange information, ideas, or feelings.",We communicate with each other through email and phone calls.
communication,"The process of conveying information, ideas, or feelings.",Effective communication is key to a successful relationship.
community,A group of people living in the same place or having a particular characteristic in common.,Our local community organized a neighborhood cleanup day.
company,A business that sells goods or services.,She works for a large tech company.
compare,To examine two or more things to see how they are similar or different.,The recipe asked me to compare the taste of the store-bought sauce with my homemade version.
comparison,The act of noticing or pointing out similarities or differences between two or more things.,The teacher asked us to write a comparison of the book and the movie.
compete,To try to win or be better than someone else.,The athletes will compete for the gold medal.
competition,A contest or rivalry between individuals or groups for something.,There's a lot of competition for jobs in the technology industry right now.
competitive,Wanting to win or be more successful than other people.,He's a very competitive athlete and always pushes himself to the limit.
competitor,Someone or something that is trying to win or succeed against others.,Coca-Cola is Pepsi's main competitor in the soft drink market.
complain,To express dissatisfaction or unhappiness about something.,"He likes to complain about the weather, but he never does anything to change it."
complaint,An expression of dissatisfaction or annoyance about something.,I filed a complaint with the airline about my lost luggage.
complete,Having all the necessary parts; finished.,The puzzle is now complete.
completely,Fully; entirely; in every way.,I completely forgot about the appointment!
complex,Having many different parts and being difficult to understand or deal with.,The instructions for assembling the furniture were very complex.
complicated,Hard to understand or deal with.,"The instructions were so complicated, I couldn't assemble the bookshelf."
component,A part or element of a larger whole.,The hard drive is an essential component of a computer.
compose,"To create or write something, especially music or a text.",She asked him to compose a song for her wedding.
composition,The way in which something is put together or arranged.,The painting's composition uses contrasting colors to draw the eye.
comprehensive,Including everything necessary; thorough.,The insurance policy offers comprehensive coverage for medical expenses.
computer,An electronic device that processes data according to a set of instructions.,I use my computer to write emails and browse the internet.
concentrate,To focus your attention or effort on something.,I need to concentrate on my studies to pass the exam.
concentration,Focused attention or mental effort.,I need complete concentration to finish this exam.
concept,An abstract idea or general notion.,The concept of justice is central to our legal system.
concern,To relate to; to be about or involve.,This meeting will concern the new marketing strategy.
concerned,"Worried, troubled, or interested.",I'm concerned about the weather forecast; it predicts heavy rain.
concert,"A live performance of music, usually by a band, orchestra, or individual musician.",We're going to a rock concert downtown tonight.
conclude,To bring something to an end; to form an opinion or judgment.,"After a long debate, they decided to conclude the meeting and vote."
conclusion,The end or final result of something.,"After considering all the evidence, the jury reached a conclusion of ""not guilty."""
concrete,Existing in a material or physical form; real or definite.,The plan is just an idea at this point; we need to make it more concrete.
condition,The state something is in.,The car is in good condition for its age.
conduct,,
conference,A meeting for discussion or exchanging views.,The company held a conference in Miami to discuss the new marketing strategy.
confidence,A feeling of self-assurance arising from one's own abilities or qualities.,"She sang the solo with confidence, hitting every note perfectly."
confident,Feeling or showing assurance and belief in one's own abilities or qualities.,She felt confident about acing the exam after studying diligently.
confirm,To state or prove that something is true.,Please confirm your attendance by Friday.
conflict,A serious disagreement or argument.,The conflict between the two countries led to war.
confront,"To face something or someone directly, often in a challenging way.",She had to confront her fear of heights to ride the roller coaster.
confusion,"A state of being unclear, uncertain, or mixed up.",The identical twins caused a lot of confusion about who was who.
Congress,"The legislative branch of the U.S. government, consisting of the Senate and the House of Representatives.",Congress is currently debating a new bill on healthcare.
congressional,Relating to the United States Congress.,The congressional hearing will focus on the proposed budget cuts.
connect,To join or link together.,I need to connect the printer to my computer.
connection,A link or relationship between things or people.,The phone call was bad because the connection was weak.
consciousness,The state of being aware of and responsive to one's surroundings.,"After the surgery, it took him a few hours to regain consciousness."
consensus,General agreement.,The committee reached a consensus on the budget proposal.
consequence,A result or effect of something.,Failing to study had the consequence of failing the exam.
conservative,Holding traditional attitudes and values and cautious about change or innovation.,My grandfather is very conservative and doesn't approve of tattoos.
consider,"To think about something carefully, especially before making a decision.",We need to consider all the options before choosing a new car.
considerable,Quite large or important.,The project required a considerable amount of time and effort.
consideration,Careful thought or attention.,Please give my proposal careful consideration.
consist,To be made up of something.,"The cake will consist of flour, sugar, and eggs."
consistent,"Acting or done in the same way over time, especially so as to be fair or accurate.","Her test scores were consistent throughout the semester, always in the high 80s."
constant,Occurring continuously or repeatedly over a period of time; unchanging.,The constant hum of the refrigerator was always in the background.
constantly,Happening all the time or very frequently.,The baby cries constantly when she's hungry.
constitute,To form or make up; to be a part of the whole.,Twelve months constitute a year.
constitutional,Following the rules and principles of a country's constitution.,The president's actions were challenged in court on constitutional grounds.
construct,,
construction,"The process of building something, or something that is built.",Road construction caused major traffic delays this morning.
consultant,An expert who provides professional advice or services to a company or organization.,The company hired a marketing consultant to help them reach a new customer base.
consume,"To use something up, often by eating, drinking, or burning it.",The fire consumed the entire forest in a matter of hours.
consumer,A person who buys goods or services for their own use.,"As a consumer, I always compare prices before making a purchase."
consumption,"The act of using something up, especially resources or energy.",The car's high gas consumption is costing us a lot of money.
contact,The act of touching or meeting.,I made eye contact with the speaker across the room.
contain,To have something inside.,This box contains my old toys.
container,Something used to hold or store things.,Please put the leftovers in a plastic container.
contemporary,Existing or happening in the present time; modern.,Contemporary art often challenges traditional ideas about beauty.
content,,
contest,A competition where people try to win something.,She entered a baking contest to show off her skills.
context,"The circumstances or situation in which something happens, providing a background and meaning.",You need to know the historical context to understand the novel.
continue,To keep doing something or to go on doing something.,Please continue reading where we left off yesterday.
continued,Kept going; didn't stop.,The rain continued all afternoon.
contract,A formal agreement between two or more parties that is legally binding.,I signed a contract with the construction company to build my new house.
contrast,To show or emphasize the differences between two things.,The black dress provided a stark contrast to the bright white snow.
contribute,"To give something, usually time, money, or effort, to help achieve a goal.",I want to contribute my time to the community garden this summer.
contribution,Something given or done to help something succeed.,Her contribution to the team's success was invaluable.
control,The power to influence or direct someone or something.,She lost control of the car on the icy road.
controversial,Causing disagreement or argument.,The politician's proposed tax cuts were highly controversial.
controversy,"A serious argument or disagreement, often public, involving opposing sides.",The new stadium is causing a big controversy in the town.
convention,A generally accepted way of doing things.,It's a convention to shake hands when you meet someone.
conventional,Following accepted customs or standards.,"Her wedding was very conventional, with a white dress and a church ceremony."
conversation,An informal exchange of ideas or information by spoken words.,We had a pleasant conversation about the weather.
convert,"To change from one form, substance, or belief to another.",He decided to convert his garage into a home office.
conviction,A firmly held belief or opinion.,She spoke with such conviction that everyone was persuaded.
convince,To persuade someone to believe something or do something.,"I tried to convince him to come to the party, but he said he was too tired."
cook,To prepare food by heating it.,I'm going to cook dinner tonight.
cookie,"A small, sweet, baked treat.",I ate a chocolate chip cookie after dinner.
cooking,Preparing food by heating it.,I love cooking pasta on Sunday nights.
cool,"Fashionable, impressive, or relaxed.",That new jacket is really cool!
cooperation,Working together with someone else to achieve a shared goal.,The team's success depended on the cooperation of all its members.
cop,A police officer.,The cop pulled the car over for speeding.
cope,To deal effectively with something difficult.,She is coping well with the stress of her new job.
copy,To make something identical or very similar to an original.,Please make a copy of this document for me.
core,The central or most important part of something.,The core of the Earth is extremely hot.
corn,A tall plant that produces ears of kernels used as food.,We grilled corn on the cob at the barbecue.
corner,"The place where two lines, edges, or surfaces meet to form an angle.",The cat is sleeping in the corner of the room.
corporate,Relating to a large company or business.,"She wore a professional, corporate suit to the job interview."
corporation,"A large company or group of companies that is legally recognized as a single entity and can own property, make contracts, and sue or be sued.",Microsoft is a massive corporation with offices around the world.
correct,Free from error; accurate or true.,Please check if my answer is correct.
correspondent,A person employed to report news from a particular place or on a particular subject.,The BBC's foreign correspondent is reporting live from Kyiv.
cost,"The amount of money, time, or effort required to obtain something.",The cost of the new car was more than I expected.
cotton,"A soft, white fibrous substance that surrounds the seeds of a cotton plant and is used for making cloth.","My shirt is made of 100% cotton, so it's very comfortable to wear in the summer."
couch,"A long, upholstered piece of furniture for sitting or reclining.",We sat on the couch and watched a movie.
could,,
council,A group of people chosen to make rules or decisions.,The town council voted to approve the new park project.
counselor,"A person who provides advice or guidance, often on personal, social, or psychological problems.",The school counselor helped me choose the right courses for my future career.
count,To determine the total number of items in a group.,Can you count how many apples are in the basket?
counter,To say or do something in opposition to something else.,The government countered the accusations with a detailed report.
country,"A nation with its own government, occupying a particular territory.",I dream of traveling to a new country every year.
county,"A territorial division of a state or country, usually for administrative purposes.",I live in Los Angeles County.
couple,Two things or people regarded as a pair.,The young couple walked hand-in-hand along the beach.
courage,"The ability to face fear, danger, or adversity with bravery.",It took a lot of courage for her to speak up against her boss.
course,"A direction or route taken; also, a unit of study or a part of a meal.",The airplane changed its course due to the storm.
court,"A place where legal trials are held; or, a formal gathering held by a king or queen.",The defendant was found guilty in court.
cousin,A child of one's aunt or uncle.,My cousin Sarah and I are the same age.
cover,To place something over or on top of something else.,Please cover the food so the flies don't get to it.
coverage,The extent to which something is dealt with or included.,The news story provided extensive coverage of the election.
cow,"A female farm animal of the cattle family, typically kept for milk or meat.",The cow grazed peacefully in the pasture.
crack,,
craft,"Skill or ability in making something, or an activity involving skill in making things by hand.",She sells beautiful leather crafts at the local market.
crash,,
crazy,Mentally unwell; wildly enthusiastic; extremely foolish.,That rollercoaster looks crazy! I'm too scared to ride it.
cream,"The thick, fatty part of milk that rises to the top.",I added cream to my coffee to make it richer.
create,To bring something new into existence.,The artist will create a beautiful sculpture from the clay.
creation,"The act of making something new, or the thing that is made.","The artist unveiled his latest creation, a stunning sculpture made of recycled materials."
creative,Using imagination or original ideas to create something.,"She is a very creative artist, always coming up with new and interesting designs."
creature,"Any living being, animal or person.",The scientist studied the strange creature found in the deep sea.
credit,Trust in someone's ability to pay back money in the future.,The bank gave her credit to buy a new car.
crew,"A group of people working together, especially on a ship, plane, or other vehicle.",The plane's crew made sure all the passengers were safely buckled in.
crime,An act that breaks a law and can be punished.,Stealing a car is a serious crime.
criminal,Someone who has committed a crime.,The police arrested the criminal after the bank robbery.
crisis,"A time of intense difficulty, trouble, or danger.",The company is facing a financial crisis due to poor sales.
criteria,Standards or rules by which something is judged.,"The judges used specific criteria, such as creativity and originality, to score the art projects."
critic,,
critical,"Expressing adverse or disapproving comments or judgments; or, extremely important.",The patient is in critical condition after the accident.
criticism,The expression of disapproval of someone or something based on perceived faults or mistakes.,The artist welcomed constructive criticism of her painting to help her improve.
criticize,To express disapproval of someone or something.,My boss criticized my presentation for being too long.
crop,"Plants grown for food or other use, especially on a large scale.",The farmer harvested his wheat crop in late summer.
cross,To go from one side to the other of something.,Please look both ways before you cross the street.
crowd,A large number of people gathered together in one place.,A huge crowd cheered as the band came on stage.
crucial,Extremely important or necessary.,Getting enough sleep is crucial for maintaining good health.
cry,"To shed tears, often expressing sadness, pain, or joy.",The baby started to cry when she realized her mother had left the room.
cultural,"Relating to the ideas, customs, and social behaviour of a society.",The museum showcases the diverse cultural heritage of the region.
culture,"The customs, beliefs, arts, and social institutions of a group of people.","Italian culture is rich with art, music, and delicious food."
cup,"A small, open container, usually with a handle, used for drinking.",I poured myself a cup of coffee this morning.
curious,Eager to know or learn something.,The cat was curious about the new toy and sniffed it cautiously.
current,,
currently,At the present time; now.,I am currently working from home.
curriculum,The subjects comprising a course of study in a school or college.,The school's new curriculum emphasizes hands-on learning and critical thinking.
custom,,
customer,A person who buys goods or services from a business.,The customer returned the shirt because it was the wrong size.
cut,"To divide something with a sharp tool, or to shorten something.",I need to cut the grass this weekend.
cycle,A series of events that repeat regularly and in the same order.,"The seasons follow a natural cycle of spring, summer, autumn, and winter."
dad,A male parent.,My dad always helps me with my homework.
daily,Happening or done every day.,I read the newspaper daily.
damage,"Physical harm that makes something less valuable, useful, or healthy.",The storm caused significant damage to the roof.
dance,To move rhythmically to music.,They danced the night away at the wedding.
danger,The possibility of suffering harm or injury.,There is a danger of falling rocks on this trail.
dangerous,Likely to cause harm or injury.,Climbing that unstable rock face is dangerous.
dare,To be brave enough to do something; to have the courage to try something difficult or risky.,I didn't dare to ask him for a raise.
dark,Having little or no light.,The room was dark because the power went out.
darkness,The absence of light.,The power outage plunged the entire street into darkness.
data,Facts and statistics collected together for reference or analysis.,The scientists analyzed the data from the experiment to draw a conclusion.
date,,
daughter,A female child.,She is a proud mother of two sons and one daughter.
day,"The period of time between sunrise and sunset, or a 24-hour period.",I'll see you again next day.
dead,No longer living; having ceased to exist.,The bird hit the window and now it's dead.
deal,,
dealer,"A person or business that buys and sells goods, especially a specific type of goods.",He bought his used car from a reputable car dealer.
dear,Beloved or cherished; also used as a polite way to start a letter or address someone.,"My dear friend, it's so good to see you!"
death,The end of life; the permanent stopping of all vital functions.,The death of his grandmother was a very sad time for the family.
debate,A formal discussion or argument about a topic where different viewpoints are presented.,The students held a debate on whether or not homework should be banned.
debt,"Something, usually money, that is owed to someone else.",I have a lot of debt from student loans.
decade,A period of ten years.,The 1980s were a vibrant decade for music and fashion.
decide,To make a choice or come to a conclusion.,I need to decide what to wear to the party.
decision,A choice made after considering different options.,I made the decision to study abroad next year.
deck,,
declare,"To state something clearly, firmly, and often publicly.",The company declared bankruptcy after years of financial trouble.
decline,"To gradually decrease in quality, quantity, or strength.",The old factory's production started to decline after new technology was introduced elsewhere.
decrease,To become or make something smaller or less.,The number of students attending the lecture decreased after the first hour.
deep,Extending far down from the surface or far into something.,The ocean is very deep in some places.
deeply,To a great extent; intensely.,I am deeply grateful for your help.
deer,A hoofed grazing animal with antlers (usually on the males).,A deer ran across the road in front of our car.
defeat,"To win a victory over someone in a battle, game, or other competition; to overcome.",The chess champion defeated his opponent in just twenty moves.
defend,To protect someone or something from attack or harm.,The knight swore to defend the princess from danger.
defendant,A person or entity who is being sued or accused of a crime in a court of law.,The defendant pleaded not guilty to the charges of theft.
defense,The act of protecting someone or something from attack or harm.,The team's strong defense prevented the other team from scoring any points.
defensive,Protecting oneself or others from attack or harm.,"The football player took a defensive stance, ready to block the incoming tackle."
deficit,"The amount by which something is too small; a shortage, especially of money.",The country is running a huge budget deficit this year.
define,To state the exact meaning of something.,"Can you define ""irony"" for me?"
definitely,Without doubt; certainly.,I am definitely going to the party tonight.
definition,The meaning of a word or phrase.,"The dictionary gives several definitions for the word ""run."""
degree,"A unit of measurement, often for temperature or angles, or a level in education.",She has a degree in engineering.
delay,To postpone or hold back something.,The flight was delayed due to bad weather.
deliver,To bring something to a person or place.,The pizza guy will deliver our food in about 30 minutes.
delivery,The act of bringing something to a particular place or person.,The pizza delivery arrived in under thirty minutes.
demand,"To ask for something forcefully, like you have a right to it.",The protesters demand justice for the victim.
democracy,,
Democrat,,
democratic,"Relating to or supporting democracy, where people have a say in how their country or organization is run.",The club's new constitution promises a more democratic process for choosing officers.
demonstrate,To clearly show or explain something.,The teacher will demonstrate how to solve the math problem on the board.
demonstration,"An act of showing or explaining how something works or is done, or a public gathering to express an opinion.",The science teacher gave a demonstration of how to build a circuit.
deny,To state that something is not true or to refuse to admit something.,"He will deny everything, even if you have proof."
department,"A section of a large organization, such as a business or government, dealing with a specific area of responsibility.",I work in the sales department.
depend,"To rely on someone or something for support, help, or success.",Whether we go to the beach will depend on the weather.
dependent,Relying on someone or something else for support or help.,Children are financially dependent on their parents.
depending,relying on something or someone.,"We can go to the park, depending on the weather."
depict,"To show or represent something in a picture, story, or other form.",The movie depicts the lives of refugees fleeing war.
depression,"A serious medical condition that negatively affects how you feel, think, and act, causing persistent sadness and loss of interest.","After losing his job, he fell into a deep depression and struggled to get out of bed."
depth,The distance from the top to the bottom of something.,The water's depth was too great for me to stand.
deputy,"A person appointed to act on behalf of someone else, often in an official role.",The sheriff's deputy arrived at the scene shortly after the call came in.
derive,To obtain or get something from a source.,"The word ""melody"" derives from the Greek word for ""song."""
describe,To give a detailed account of something in words.,Can you describe what the suspect was wearing?
description,An account that gives details about someone or something.,The police created a detailed description of the suspect based on the witness's statement.
desert,"A hot, dry area with little or no vegetation.",Cacti are well-suited to survive in the harsh conditions of the desert.
deserve,"To be worthy of or entitled to something, either good or bad.","After all that hard work, she deserves a vacation."
design,A plan or drawing produced to show the look and function of something before it is built or made.,The architect presented the building's design to the city council.
designer,"A person who plans the look or function of something, typically before it is made or built, by creating detailed drawings or plans.",The fashion designer created a stunning new collection for the spring runway.
desire,A strong feeling of wanting something.,I have a strong desire to travel the world.
desk,"A piece of furniture with a flat or sloping surface used for reading, writing, or working at.",I left my keys on my desk at work.
desperate,Feeling or showing hopelessness and a willingness to do anything to change a bad situation.,I was desperate for a job after being unemployed for six months.
despite,In spite of; even though.,"Despite the rain, we had a great time at the park."
destroy,To completely ruin or end something.,The fire destroyed the entire building.
destruction,The act of ruining or completely damaging something.,The hurricane caused widespread destruction along the coast.
detail,"A small, specific piece of information.","The painting was beautiful, right down to the smallest detail."
detailed,Including many specific facts or features.,The detective gave a detailed account of the crime scene.
detect,"To discover or notice something, especially something not obvious.",The smoke alarm can detect even small amounts of smoke.
determine,To find out or decide something exactly.,Scientists are trying to determine the cause of the disease.
develop,To grow or change into something more advanced or complex.,The baby is developing rapidly and starting to crawl.
developing,Growing or improving.,The country's developing economy is attracting foreign investment.
development,"The process of growing, progressing, or becoming more advanced.",The city's rapid development has brought both prosperity and challenges.
device,"A thing made or adapted for a particular purpose, especially a piece of mechanical or electronic equipment.",I can't live without my phone; it's my most essential device.
devote,"To dedicate time, effort, or resources to a particular purpose or person.",She decided to devote her life to helping animals in need.
dialogue,A conversation between two or more people.,The play consisted mostly of witty dialogue between the two main characters.
die,To stop living; to cease to be alive.,My grandfather died peacefully in his sleep.
diet,The food and drink a person or animal regularly consumes.,My doctor recommended a low-sodium diet to help lower my blood pressure.
differ,To be unlike or dissimilar.,My opinions differ from my brother's on most political topics.
difference,The state of being unlike or distinct.,The main difference between cats and dogs is their personality.
different,Not the same.,These two apples are different colors.
differently,,
difficult,"Hard to do, understand, or deal with.",The math problem was very difficult.
difficulty,"The state or quality of being hard to do, understand, or deal with.",I'm having difficulty understanding this math problem.
dig,To break up and move earth or other material with a tool or hands.,The dog loves to dig holes in the backyard.
digital,"Represented using numbers, especially 0 and 1, or relating to computer technology.",I prefer to read digital books on my tablet rather than physical copies.
dimension,"A measurable extent of something, like length, width, or height.",The dimensions of the room are 12 feet by 15 feet.
dining,"The act of eating a meal, usually a formal or substantial one.",The family enjoys dining together every Sunday evening.
dinner,"The main meal of the day, usually eaten in the evening.",We're having chicken for dinner tonight.
direct,,
direction,"A course or path along which someone or something moves, faces, or points.",The compass showed us the direction to the north.
directly,In a straight line or path; without anything in between.,The sun shone directly in my eyes.
director,"A person who supervises the actors and crew in a film, play, or other production.","The director shouted ""Action!"" and the scene began."
dirt,Loose soil or earth.,"The kids were playing in the dirt, building a castle."
dirty,"Not clean; soiled with dirt, mud, or other unwanted substances.",The dog got very dirty playing in the park.
disability,"A physical or mental condition that limits a person's movements, senses, or activities.",Wheelchair ramps help provide access for people with disabilities.
disagree,To have a different opinion or not approve of something.,I disagree with your assessment of the situation.
disappear,To vanish or cease to be visible.,The magician made the rabbit disappear in a puff of smoke.
disaster,A sudden event causing great damage or loss of life.,The earthquake was a major disaster that left thousands homeless.
discipline,Training to obey rules or a system of behavior.,The athlete's success is a result of years of strict discipline.
discourse,Written or spoken communication or debate.,The online discourse surrounding the election was often heated and unproductive.
discover,To find something unexpectedly or while looking for something else.,Scientists discovered a new species of frog in the Amazon rainforest.
discovery,The act of finding something unexpectedly or while looking for something else.,The discovery of penicillin revolutionized medicine.
discrimination,"Treating someone unfairly because of a particular characteristic, like race or gender.",The company was sued for discrimination after consistently hiring men over equally qualified women.
discuss,"To talk about something in detail, usually to share ideas or opinions.",We need to discuss the budget for next year's project.
discussion,A conversation or debate about a topic.,We had a long discussion about where to go on vacation.
disease,"A disorder of structure or function in a human, animal, or plant, especially one that produces specific signs or symptoms or that affects a specific location and is not simply a direct result of physical injury.",The flu is a common disease that can cause fever and body aches.
dish,"A container, usually shallow, used for holding or serving food.",I'll wash the dishes after dinner.
dismiss,To treat something as not important or worthy of consideration.,The company dismissed his concerns about safety regulations.
disorder,A state of confusion or lack of organization.,The earthquake left the city in complete disorder.
display,To show or exhibit something.,The museum will display ancient artifacts from around the world.
dispute,A disagreement or argument.,The neighbors are in a dispute over the property line.
distance,The amount of space between two places or things.,The distance from my house to the store is about a mile.
distant,Far away in space or time.,The stars are distant suns.
distinct,Clearly different or separate.,The twins have distinct personalities despite looking identical.
distinction,A clear difference or contrast between similar things or people.,There's a clear distinction between being assertive and being aggressive.
distinguish,To recognize or point out the difference between two or more things.,Can you distinguish between a crow and a raven?
distribute,To give out or spread something to a number of people or places.,The teacher will distribute the worksheets before the test.
distribution,The way something is spread out or shared.,The distribution of wealth in the country is very unequal.
district,An area or region marked off for a special purpose.,The school district is holding a meeting tonight.
diverse,Including many different types.,The college has a very diverse student body.
diversity,The state of having different elements or qualities; variety.,"The company values diversity in its workforce, hiring people from different backgrounds and cultures."
divide,To separate into parts or share among people.,Please divide the pizza into eight slices.
division,"The act of separating something into parts, or a disagreement.","The division of the pizza was unequal, and the division in the team was causing problems."
divorce,The legal ending of a marriage.,"After ten years together, they decided to get a divorce."
DNA,The molecule carrying genetic instructions for all living organisms.,DNA testing can be used to identify a person's parents.
do,To perform an action or activity; to accomplish something.,I need to do my homework tonight.
doctor,A person trained and licensed to treat sick or injured people.,I have an appointment with my doctor next week for a check-up.
document,"A piece of written, printed, or electronic matter that provides information or evidence.",I need to read the policy document before signing the agreement.
dog,"A domesticated carnivorous mammal that typically has a long snout, an acute sense of smell, and a barking, howling, or whining voice.",The dog wagged its tail excitedly when its owner came home.
domestic,"Relating to the home, family, or country of origin.",My cat is a domestic shorthair breed.
dominant,"Most powerful, controlling, or influential.",The lion is the dominant predator in the African savanna.
dominate,To have control or power over someone or something.,The Lakers dominated the game from start to finish.
door,A hinged or sliding barrier used to close off an entrance or opening.,Please close the door when you leave the room.
double,Twice as much or twice as many.,I need to double the recipe because we have more guests coming.
doubt,A feeling of uncertainty or lack of conviction.,I have some doubt that it will rain tomorrow.
down,Towards a lower place or position.,The cat jumped down from the tree.
downtown,The central business or commercial area of a city or town.,We went downtown to see a show and have dinner.
dozen,A group of twelve.,I bought a dozen eggs at the grocery store.
draft,,
drag,,
drama,"A play, film, or TV show that is serious and often emotional; or, a situation full of excitement, conflict, and tension.","The school play was a hilarious comedy, but Sarah loves watching intense dramas on television."
dramatic,Striking or theatrical in appearance or effect.,"The sunset over the ocean was incredibly dramatic, with fiery oranges and deep purples."
dramatically,In a striking or noticeable way; with great effect.,The company's profits increased dramatically after the new CEO took over.
draw,"To create a picture using lines, often with a pencil or pen.",My daughter loves to draw pictures of cats.
drawing,"A picture or diagram made with lines on a surface, often using a pencil, pen, or crayon.",She made a beautiful drawing of a landscape with mountains and a lake.
dream,"A series of thoughts, images, or feelings that occur in your mind during sleep.",I had a strange dream last night about flying over the ocean.
dress,A one-piece garment worn by a woman or girl.,She wore a beautiful red dress to the party.
drink,To swallow liquid.,I need to drink some water; I'm thirsty.
drive,To operate a vehicle or to force something into motion.,I drive my car to work every day.
driver,Someone who operates a vehicle.,The bus driver waited for everyone to get on board before starting the engine.
drop,To fall or let something fall.,Be careful not to drop that glass!
drug,A substance that changes how the body or mind functions.,The doctor prescribed a drug to help lower my blood pressure.
dry,Free from moisture or liquid; not wet.,The clothes are dry after being in the sun.
due,Expected or scheduled to happen or arrive.,The baby is due in March.
during,Throughout the course or duration of.,It rained heavily during the night.
dust,"Fine, dry powder consisting of tiny particles of earth or waste matter.",The sunbeam revealed motes of dust dancing in the air.
duty,A moral or legal obligation; something you are required to do.,It is my duty to report any suspicious activity to the police.
each,"Every one of two or more people or things, considered individually.",Each student received a certificate.
eager,Showing enthusiasm and a desire to do something.,The dog was eager to go for a walk.
ear,The organ of hearing.,I can't hear you; speak directly into my ear.
early,Before the usual or expected time.,I woke up early this morning.
earn,To receive something (usually money) in exchange for work or effort.,I earn $20 an hour at my part-time job.
earnings,Money earned as payment for work or from investments.,Her average weekly earnings are $500.
earth,The planet we live on; soil or ground.,Plants grow best when their roots are firmly in the earth.
ease,"Freedom from difficulty, pain, or worry.",The medicine helped ease her headache.
easily,With no difficulty; without much effort.,She can easily lift that box.
east,The direction on the right-hand side of a person facing north; the direction of the rising sun.,The sun rises in the east every morning.
eastern,"Located in, directed toward, or coming from the east.",The sun rises in the eastern sky.
easy,Not difficult; requiring little effort.,"The test was very easy, and I finished it in half the time."
eat,To put food in your mouth and swallow it.,"I'm so hungry, I could eat a horse!"
economic,"Relating to money, trade, and the production and use of goods and services.",The government is trying to improve the country's economic situation.
economics,The study of how people make choices in the face of scarcity.,The professor's economics lecture explained how supply and demand affect the price of gasoline.
economist,"A person who studies economics, especially how a society uses resources.",The economist predicted a rise in inflation due to increased government spending.
economy,"The system of how money, goods, and services are produced and used in a country or area.",The government is trying to improve the economy by lowering taxes.
edge,The boundary or line where something ends.,Be careful not to fall off the edge of the cliff.
edition,A particular version or form of a published text or other creative work.,"I have the first edition of that book, signed by the author."
editor,"A person who prepares written material for publication by correcting, revising, or rearranging content.",The editor made helpful suggestions to improve my manuscript before it was published.
